id,game_version,rva,status,name,source,notes,signature
2000,1.5.1164953,0x00B9A2B0,verified,IConsole_AddCommand,verified,"IConsole::AddCommand(const char* sCommand, ConsoleCommandFunc func, int nFlags, const char* sHelp). __thiscall (rcx=IConsole*). Callback ABI: void __fastcall (IConsoleCmdArgs*). **vtable[33]** (NOT slot 32 — the canonical CryEngine ordering is swapped in this build). Originally recorded as slot 32 from a vtable dump; corrected against the binary, which showed slot 32 is the script-string overload. Three independent confirmations: (a) slot 33's body stores r8 raw at record [+0x20]; slot 32 runs r8 through CryString-assign at 0x1804f6ac8; (b) slot 33's duplicate-registration error says 'console command [%s] is already registered' while slot 32 says 'script command [%s] is already registered'; (c) the engine's own static wrapper at 0x180B99098 (used to register playerGoto / freeze / etc.) calls vtable[33] via [pConsole->vtable + 0x108]. Verified against the binary.",""
2001,1.5.1164953,0x0100955C,verified,IConsole_RemoveCommand,verified,"IConsole::RemoveCommand(const char* sName). __thiscall. vtable[34]. Verified against the binary; small function body matches the expected map-erase shape. Used for [[command]] cleanup on plugin unload (if/when v0.2 supports unload). -> bool (success flag; SETNZ BL / MOV AL,BL before RET — the engine returns the map-erase result, diverging from the canonical CryEngine 'void RemoveCommand' header; the return type is empirically probed against the binary, not assumed from a header). Confirmed by a body-wide analysis against the binary.","bool (ptr self, cstr sName)"
2002,1.5.1164953,0x007A5818,verified,IConsole_ExecuteString,verified,"IConsole::ExecuteString(const char* command, bool bSilentMode, bool bDeferExecution). __thiscall. vtable[35]. Verified against the binary. Useful for plugins that want to programmatically execute console commands (e.g., binding a hotkey to a console command via Lua). -> void (entry-point 0x007A5818 and helper 0x007A586C both return with no eax/rax write — pure register-restore before RET; matches the canonical CryEngine header, binary-verified).","void (ptr self, cstr command, bool bSilentMode, bool bDeferExecution)"
2003,1.5.1164953,0x009DF818,verified,IConsole_GetCVar,verified,"IConsole::GetCVar(const char* name) -> ICVar*. __thiscall. vtable[23]. Verified against the binary (canonical CryEngine slot). Underpins kcdx.get_cvar_bool / get_cvar_int / get_cvar_float (Lua surface) and the C-side CVar lookup.","ptr (ptr self, cstr name)"
2004,1.5.1164953,0x00B99098,verified,IConsole_AddCommand_static_wrapper,verified,"Engine-side static function that resolves pConsole from its known .data slot and calls vtable[33] (AddCommand func-overload). Signature: void __fastcall(const char* name, ConsoleCommandFunc func, int nFlags, const char* sHelp). Used by the engine's own boot-time registrations (playerGoto, freeze, etc.). Plugins may prefer this over directly calling AddCommand because (a) no need to fetch pConsole first, (b) survives vtable shuffles across game patches as long as the wrapper itself stays at this RVA. Verified against the binary.","void (cstr name, ptr func, i32 nFlags, cstr sHelp)"
2005,1.5.1164953,0x0100A3D4,verified,IConsole_AddCommand_script_overload,verified,"IConsole::AddCommand(const char* sName, const char* sScriptFunc, int nFlags, const char* sHelp). **vtable[32]** — the SCRIPT-STRING overload (originally mis-labeled as the func-pointer overload at id 2000). Registers a console command whose body is a Lua source string (e.g., ""Game.Connect(%1)""). Plugins typically want id 2000 (function-pointer form) instead, but this is documented for completeness.",""
3000,1.5.1164953,,unverified,IGame_CompleteInit_vtable_idx,verified,"IGame::CompleteInit() vtable index. A predecessor KCD project records slot 4 (0-indexed) on V1.4+. __thiscall(rcx=IGame*). Fires exactly once during engine init, main thread. NOT a function-entry RVA — this is a vtable-slot integer. Address Library schema would need [[vtable_hook]] support to consume directly; for now, record as a known constant. Status unverified at the Address-Library API level until [[vtable_hook]] ships.",""
3001,1.5.1164953,,unverified,IScriptSystem_CreateTable_vtable_idx,verified,"IScriptSystem::CreateTable() vtable index = 13 (0-indexed). +1 from canonical 12 due to inserted unknown virtual. __thiscall. Same status caveat as id 3000.",""
3002,1.5.1164953,,unverified,IScriptTable_SetValueAny_vtable_idx,verified,"IScriptTable::SetValueAny() vtable index = 7 (0-indexed). +1 from canonical 6 due to inserted unknown virtual. __thiscall. Same caveat.",""
3003,1.5.1164953,,unverified,IGame_GetIGameFramework_vtable_idx,verified,"IGame::GetIGameFramework() vtable index = 16 (0-indexed). Returns IGameFramework*. __thiscall. Documented by a predecessor KCD project at offset 0x80 (== 16 * 8). Same caveat.",""
3004,1.5.1164953,,unverified,IGame_GetLongName_vtable_idx,verified,"IGame::GetLongName() vtable index = 12 (0-indexed). __thiscall. Documented by a predecessor KCD project at offset 0x60. Useful for plugin-side game identification. Same caveat.",""
3005,1.5.1164953,,unverified,IGame_GetName_vtable_idx,verified,"IGame::GetName() vtable index = 13 (0-indexed). __thiscall. Documented by a predecessor KCD project at offset 0x68. Same caveat.",""
1100,1.5.1164953,0x0071A0D8,verified,luaL_checktype,verified,"luaL_checktype(L, narg, t). Cross-confirmed across many luaB_*/db_* wrappers: str_dump + luaB_next + luaB_rawget + luaB_rawset + tconcat + tinsert + tremove + db_sethook all call this RVA at the matching source position. Verified against the binary.","void (ptr L, i32 narg, i32 t)"
1101,1.5.1164953,0x0071A49C,verified,lua_insert,verified,"lua_insert(L, idx). Cross-confirmed in luaB_pcall (after lua_pcall) and luaB_xpcall (between settop and pcall); both match source's lua_insert call.","void (ptr L, i32 idx)"
1102,1.5.1164953,0x0071A4E4,verified,lua_remove,verified,"lua_remove(L, idx). Call in luaopen_math matching lua_remove(L, -2) which removes the _LOADED table after registering; cross-confirmed in db_gethook.","void (ptr L, i32 idx)"
1103,1.5.1164953,0x0071CA90,verified,lua_type,verified,"lua_type(L, idx) -> int. Cross-confirmed in luaB_type body + first call in luaB_setmetatable + db_sethook + luaB_tostring switch dispatch.","i32 (ptr L, i32 idx)"
1104,1.5.1164953,0x0071D06C,verified,lua_rawgeti,verified,"lua_rawgeti(L, idx, n). Fourth call in tconcat (loop body lua_rawgeti(L, 1, i)); cross-confirmed in tinsert + tremove.","void (ptr L, i32 idx, i32 n)"
1105,1.5.1164953,0x0071E46C,verified,lua_pushlstring,verified,"lua_pushlstring(L, s, len). db_gethook calls it with rcx=L rdx=""external hook"" r8=13 (length); auxresume call with literal ""cannot resume dead coroutine"" r8=0x1C (length 28) — PGO specialized lua_pushfstring at compile time to lua_pushlstring with literal when args are constant.","void (ptr L, cstr s, u64 len)"
1106,1.5.1164953,0x0071E4D4,verified,lua_getmetatable,verified,"lua_getmetatable(L, objindex) -> int. Second call in luaB_getmetatable matching if (!lua_getmetatable(L, 1)).","i32 (ptr L, i32 objindex)"
1107,1.5.1164953,0x0071E77C,verified,lua_settop,verified,"lua_settop(L, idx). Cross-confirmed across str_dump + luaB_next + luaB_rawget + luaB_rawset + luaB_error + luaB_setmetatable + luaB_xpcall + db_setlocal + db_sethook.","void (ptr L, i32 idx)"
1108,1.5.1164953,0x0071ECEC,verified,lua_touserdata,verified,"lua_touserdata(L, idx) -> void*. Call in ll_require matching lua_touserdata(L, -1) == sentinel check.","ptr (ptr L, i32 idx)"
1109,1.5.1164953,0x0071EF54,verified,lua_pushstring,verified,"lua_pushstring(L, s). Fourth call in luaB_type body with rcx=L rdx=string (2 args); matches lua_pushstring(L, luaL_typename(...)) exactly.","void (ptr L, cstr s)"
1110,1.5.1164953,0x0071F098,verified,lua_createtable,verified,"lua_createtable(L, narr, nrec). Call in base_open after the auxopen pair matching lua_createtable(L, 0, 1) for the newproxy weak table.","void (ptr L, i32 narr, i32 nrec)"
1111,1.5.1164953,0x0071F100,verified,lua_pushvalue,verified,"lua_pushvalue(L, idx). Call in luaB_getfenv with edx=0xFFFFD8EE (= -10002 = LUA_GLOBALSINDEX); matches lua_pushvalue(L, LUA_GLOBALSINDEX); cross-confirmed in luaB_setfenv + luaB_tostring + db_getlocal + db_sethook.","void (ptr L, i32 idx)"
1112,1.5.1164953,0x0071F128,verified,lua_setmetatable,verified,"lua_setmetatable(L, objindex) -> int. Fifth call in luaB_setmetatable body matching lua_setmetatable(L, 1) after type/checktype/getmetafield/settop.","i32 (ptr L, i32 objindex)"
1113,1.5.1164953,0x0071F4BC,verified,lua_next,verified,"lua_next(L, idx). Third call in luaB_next body matching final lua_next(L, 1) in source.","i32 (ptr L, i32 idx)"
1114,1.5.1164953,0x0071F6A8,verified,lua_tolstring,verified,"lua_tolstring(L, idx, len). Call in db_getinfo after lua_pushfstring(L, "">%s"", options) matching options = lua_tostring(L, -1) macro = lua_tolstring(L, -1, NULL).","cstr (ptr L, i32 idx, ptr len)"
1115,1.5.1164953,0x0071F6FC,verified,lua_gettable,verified,"lua_gettable(L, idx). Call in str_gsub's add_value helper at LUA_TTABLE case matching lua_gettable(L, 3).","void (ptr L, i32 idx)"
1116,1.5.1164953,0x0071FCE8,verified,luaC_step,verified,"luaC_step(L) — internal GC stepper, NOT LUA_API. Originally mis-tagged as lua_newthread in the first commit; corrected after body-shape analysis showed it reads g->totalbytes/GCthreshold via [L+0x20]+offsets and calls 0x71FDAC (luaC_singlestep) — the GC step dispatch, not thread creation. luaB_cocreate's apparent lua_newthread call was actually the inlined-lua_newthread's call to luaC_checkGC (macro expanding to luaC_step). lua_newthread itself appears inlined; no separate RVA known.",""
1117,1.5.1164953,0x00718464,verified,lua_rawget,verified,"lua_rawget(L, idx). Fourth call in luaB_rawget matching final lua_rawget(L, 1) in source.","void (ptr L, i32 idx)"
1118,1.5.1164953,0x00720738,verified,lua_rawset,verified,"lua_rawset(L, idx). Fifth call in luaB_rawset matching final lua_rawset(L, 1); cross-confirmed in db_sethook.","void (ptr L, i32 idx)"
1119,1.5.1164953,0x0041C200,verified,lua_tonumber,verified,"lua_tonumber(L, idx) -> lua_Number. Call in luaB_setfenv after lua_isnumber check matching lua_tonumber(L, 1); returns xmm0 (float per CryEngine's LUA_NUMBER=float).","f32 (ptr L, i32 idx)"
1120,1.5.1164953,0x0041C230,verified,lua_isnumber,verified,"lua_isnumber(L, idx) -> int. Body-shape match: calls index2adr (0x71DD7C) then cmp [rax+8] 3 (LUA_TNUMBER → return 1); fast-path for lua_isnumber.","i32 (ptr L, i32 idx)"
1121,1.5.1164953,0x00B9CC48,verified,lua_checkstack,verified,"lua_checkstack(L, n) -> int. Body-shape match: computes (L->top - L->base) + size > LUAI_MAXCSTACK with constant 0x800 (= CryEngine's LUAI_MAXCSTACK=2048); also called 2x from auxresume.","i32 (ptr L, i32 n)"
1122,1.5.1164953,0x00B9CE78,verified,lua_typename,verified,"lua_typename(L, tp) -> const char*. Third call in luaB_type matching luaL_typename macro = lua_typename(L, lua_type(L,i)).","cstr (ptr L, i32 tp)"
1123,1.5.1164953,0x00B9D764,verified,lua_objlen,verified,"lua_objlen(L, idx) -> size_t. Reached via luaL_getn macro in tconcat + tremove + tinsert; also directly from table.getn wrapper.","u64 (ptr L, i32 idx)"
1124,1.5.1164953,0x00B9C1AC,verified,lua_toboolean,verified,"lua_toboolean(L, idx) -> int. Body-shape match: calls index2adr (0x71DD7C) then cmp [rax+8] 0 (LUA_TNIL → return 0); cmp eax 1 (LUA_TBOOLEAN check) then checks bvalue.","i32 (ptr L, i32 idx)"
1125,1.5.1164953,0x00B9C2A4,verified,lua_rawseti,verified,"lua_rawseti(L, idx, n). Reached 2x in tinsert (the swap loop) + 2x in tremove (the shift loop) — matches source.","void (ptr L, i32 idx, i32 n)"
1126,1.5.1164953,0x00B9CAFC,verified,lua_tointeger,verified,"lua_tointeger(L, idx) -> lua_Integer. Call near top of db_traceback matching (int)lua_tointeger(L, arg+2); cross-confirmed in db_getinfo.","i64 (ptr L, i32 idx)"
1127,1.5.1164953,0x00B9D0C0,verified,lua_newuserdata,verified,"lua_newuserdata(L, sz) -> void*. Second call in luaB_newproxy after lua_settop matching lua_newuserdata(L, 0).","ptr (ptr L, u64 sz)"
1128,1.5.1164953,0x00B9D11C,verified,lua_pushcclosure,verified,"lua_pushcclosure(L, fn, n). Call inside luaopen_math's library-population loop matching lua_pushcclosure(L, l->func, 0) (upvalue-copy loop skipped when nup=0).","void (ptr L, ptr fn, i32 n)"
1129,1.5.1164953,0x00ADB058,verified,luaL_findtable,verified,"luaL_findtable(L, idx, fname, szhint). First call in luaopen_math with edx=-10000 (LUA_REGISTRYINDEX) r8=""_LOADED"" r9d=size; called again in same fn with edx=LUA_GLOBALSINDEX.","cstr (ptr L, i32 idx, cstr fname, i32 szhint)"
1130,1.5.1164953,0x00ADB44C,verified,lua_getfield,verified,"lua_getfield(L, idx, k). Second call in luaopen_math matching lua_getfield(L, -1, libname); 3 args.","void (ptr L, i32 idx, cstr k)"
1131,1.5.1164953,0x00A2D840,verified,lua_setfield,verified,"lua_setfield(L, idx, k). Call in luaopen_math's library setup matching lua_setfield(L, -3, libname); cross-confirmed via lua_setfield(L, -3, ""pi"") and ""huge"".","void (ptr L, i32 idx, cstr k)"
1132,1.5.1164953,0x00A2D8B8,verified,lua_gc,verified,"lua_gc(L, what, data). Called 2x in luaB_collectgarbage matching source's 2 lua_gc invocations (main op + GCCOUNTB in the GCCOUNT case).","i32 (ptr L, i32 what, i32 data)"
1133,1.5.1164953,0x00A2DA68,verified,lua_sethook,verified,"lua_sethook(L, func, mask, count). Call in db_sethook with 4 args (L1, hookf, mask, count); matches lua_sethook signature exactly.","i32 (ptr L, ptr func, i32 mask, i32 count)"
1134,1.5.1164953,0x00CAE9A8,verified,lua_getstack,verified,"lua_getstack(L, level, ar) -> int. Call in db_getlocal + db_setlocal after the luaL_checkint(L, arg+1) call matching if (!lua_getstack(L1, n, &ar)).","i32 (ptr L, i32 level, ptr ar)"
1135,1.5.1164953,0x00CAEA88,verified,lua_getinfo,verified,"lua_getinfo(L, what, ar) -> int. Call in db_traceback after lua_getstack with rdx=""Snl"" matching lua_getinfo(L1, ""Snl"", &ar).","i32 (ptr L, cstr what, ptr ar)"
1136,1.5.1164953,0x01250AC4,verified,luaL_checknumber,verified,"luaL_checknumber(L, narg) -> lua_Number. First call in math_floor (and many other math_* wrappers) with (L, 1); each math_X = luaL_checknumber + CRT math fn + inlined lua_pushnumber; cross-confirmed in math_pow which calls it 2x.","f32 (ptr L, i32 narg)"
1137,1.5.1164953,0x0144965C,verified,lua_call,verified,"lua_call(L, nargs, nresults). Inlined luaL_callmeta in luaB_tostring: after luaL_getmetafield returns true, code does lua_pushvalue(L, obj); lua_call(L, 1, 1) — call here is lua_call.","void (ptr L, i32 nargs, i32 nresults)"
1138,1.5.1164953,0x016546F8,verified,luaL_getmetafield,verified,"luaL_getmetafield(L, obj, e) -> int. Third call in luaB_getmetatable matching luaL_getmetafield(L, 1, ""__metatable""); cross-confirmed via inlined luaL_callmeta in luaB_tostring.","i32 (ptr L, i32 obj, cstr e)"
1139,1.5.1164953,0x013236D0,verified,lua_concat,verified,"lua_concat(L, n). Sixth call in luaB_error matching lua_concat(L, 2).","void (ptr L, i32 n)"
1140,1.5.1164953,0x01323664,verified,luaL_pushresult,verified,"luaL_pushresult(B). Call site in str_dump immediately after luaL_error and before security_check_cookie; source ends str_dump with luaL_pushresult(&b) followed by return 1.","void (ptr B)"
1141,1.5.1164953,0x013E14D8,verified,lua_load,verified,"lua_load(L, reader, dt, chunkname) -> int. Call in luaB_loadstring after luaL_checklstring + luaL_optstring with the LoadS struct in stack; function calls luaD_pcall (via luaD_protectedparser).","i32 (ptr L, ptr reader, ptr dt, cstr chunkname)"
1142,1.5.1164953,0x00B9C9BC,verified,luaL_checklstring,verified,"luaL_checklstring(L, narg, len) -> const char*. Call in db_sethook matching luaL_checkstring macro = luaL_checklstring(L, n, NULL); cross-confirmed in str_rep + str_len.","cstr (ptr L, i32 narg, ptr len)"
1143,1.5.1164953,0x00B9CA08,verified,luaL_optinteger,verified,"luaL_optinteger(L, narg, default) -> lua_Integer. First call in luaB_error matching luaL_optint macro = (int)luaL_optinteger(L, 2, 1); cross-confirmed in luaB_tonumber + luaB_collectgarbage + tremove + db_sethook.","i64 (ptr L, i32 narg, i64 def)"
1144,1.5.1164953,0x00B9CAB4,verified,luaL_checkinteger,verified,"luaL_checkinteger(L, narg) -> lua_Integer. Reached via luaL_checkint macro in tconcat + tinsert + tremove + db_getlocal + db_setlocal.","i64 (ptr L, i32 narg)"
1145,1.5.1164953,0x00B9CC20,verified,luaL_checkstack,verified,"luaL_checkstack(L, sz, msg) — different from lua_checkstack. Call in luaB_unpack matching luaL_checkstack(L, n, ""too many results to unpack"").","void (ptr L, i32 sz, cstr msg)"
1146,1.5.1164953,0x00B9CE94,verified,luaL_checkany,verified,"luaL_checkany(L, narg). Cross-confirmed across luaB_rawget + luaB_rawset + luaB_rawequal + luaB_type + luaB_getmetatable + luaB_pcall + luaB_xpcall + luaB_tostring + luaB_tonumber + luaB_unpack + db_setlocal.","void (ptr L, i32 narg)"
1147,1.5.1164953,0x00B9D8E4,verified,luaL_addlstring,verified,"luaL_addlstring(B, s, l). Call inside str_rep's repeat loop after the buffer was initialized inline; matches luaL_addlstring(&b, s, l) (3 args).","void (ptr B, cstr s, u64 l)"
1148,1.5.1164953,0x039930A4,verified,lua_iscfunction,verified,"lua_iscfunction(L, idx) -> int. Call in luaB_getfenv with (L, -1); cross-confirmed in luaB_setfenv.","i32 (ptr L, i32 idx)"
1149,1.5.1164953,0x039930CC,verified,lua_isstring,verified,"lua_isstring(L, idx) -> int. Third call in luaB_error body matching the lua_isstring(L, 1) check.","i32 (ptr L, i32 idx)"
1150,1.5.1164953,0x039930E8,verified,lua_lessthan,verified,"lua_lessthan(L, idx1, idx2) -> int. sort_comp's cold path (when comparator nil) tail-jumps to lua_lessthan via the cold-path call at 0x3999CE9 → 0x39930E8; the function calls index2adr 2x and tail-jmps to luaV_lessthan.","i32 (ptr L, i32 idx1, i32 idx2)"
1151,1.5.1164953,0x03993060,verified,lua_getupvalue,verified,"lua_getupvalue(L, funcindex, n) -> const char*. Call in auxupvalue's get-path (test edi != 0 fall-through); source: name = get ? lua_getupvalue(L, 1, n) : lua_setupvalue(L, 1, n).","cstr (ptr L, i32 funcindex, i32 n)"
1152,1.5.1164953,0x03993134,verified,lua_pushfstring,verified,"lua_pushfstring(L, fmt, ...) -> const char*. Called 5+ times in db_traceback with format-string args (variadic pattern); each call loads a format string (e.g. ""%s:"" ""%d:"" "" in function "" LUA_QS).",""
1153,1.5.1164953,0x03993178,verified,lua_rawequal,verified,"lua_rawequal(L, idx1, idx2) -> int. Third call in luaB_rawequal with 3 args (L, 1, 2); lua_pushboolean inlined.","i32 (ptr L, i32 idx1, i32 idx2)"
1154,1.5.1164953,0x039931C0,verified,lua_setfenv,verified,"lua_setfenv(L, idx) -> int. Third call in db_setfenv after luaL_checktype + lua_settop matching if (lua_setfenv(L, 1) == 0); cross-confirmed in luaB_setfenv.","i32 (ptr L, i32 idx)"
1155,1.5.1164953,0x03993244,verified,lua_setupvalue,verified,"lua_setupvalue(L, funcindex, n) -> const char*. Call in auxupvalue's set-path (test edi != 0 taken-branch); ternary other branch from lua_getupvalue site.","cstr (ptr L, i32 funcindex, i32 n)"
1156,1.5.1164953,0x039932C0,verified,lua_tothread,verified,"lua_tothread(L, idx) -> lua_State*. First call in luaB_costatus matching lua_State *co = lua_tothread(L, 1); cross-confirmed via luaB_coresume.","ptr (ptr L, i32 idx)"
1157,1.5.1164953,0x039932DC,verified,lua_xmove,verified,"lua_xmove(from, to, n). auxresume calls lua_xmove 3x — site at 0x39932DC is called 3x from auxresume; cross-confirmed in db_getlocal + db_setlocal + db_sethook.","void (ptr from, ptr to, i32 n)"
1158,1.5.1164953,0x039934C8,verified,luaL_addvalue,verified,"luaL_addvalue(B). Final call in str_gsub's add_value helper with rcx=&b matching luaL_addvalue(b); single luaL_Buffer* arg.","void (ptr B)"
1159,1.5.1164953,0x0399355C,verified,luaL_argerror,verified,"luaL_argerror(L, narg, extramsg). Error path of db_getlocal + db_setlocal after !lua_getstack — matches return luaL_argerror(L, arg+1, ""level out of range"").","i32 (ptr L, i32 narg, cstr extramsg)"
1160,1.5.1164953,0x03993638,verified,luaL_checkoption,verified,"luaL_checkoption(L, narg, def, lst[]) -> int. First call in luaB_collectgarbage matching luaL_checkoption(L, 1, ""collect"", opts).","i32 (ptr L, i32 narg, cstr def, ptr lst)"
1161,1.5.1164953,0x0399375C,verified,luaL_error,verified,"luaL_error(L, fmt, ...) -> int. Cross-confirmed: str_dump (lstrlib.c) + auxresume (lbaselib.c) + tinsert all reach the same RVA.",""
1162,1.5.1164953,0x03993AA4,verified,luaL_optlstring,verified,"luaL_optlstring(L, narg, def, len) -> const char*. First call in tconcat matching luaL_optstring expansion (L, 2, """", &lsep).","cstr (ptr L, i32 narg, cstr def, ptr len)"
1163,1.5.1164953,0x03993B00,verified,luaL_prepbuffer,verified,"luaL_prepbuffer(B) -> char*. Call in str_gsub main loop with single arg (luaL_Buffer*) when buffer needs refilling.","ptr (ptr B)"
1164,1.5.1164953,0x03993B24,verified,luaL_typerror,verified,"luaL_typerror(L, narg, tname) -> int. Located via string xref to ""%s expected, got %s"" format string in .rdata; body calls lua_type + lua_typename + lua_pushfstring then tail-jumps to luaL_argerror.","i32 (ptr L, i32 narg, cstr tname)"
1165,1.5.1164953,0x03993B70,verified,luaL_where,verified,"luaL_where(L, level). Fourth call in luaB_error matching luaL_where(L, level).","void (ptr L, i32 level)"
1166,1.5.1164953,0x03996250,verified,lua_getlocal,verified,"lua_getlocal(L, ar, n) -> const char*. Call in db_getlocal after the second luaL_checkint(L, arg+2); matches lua_getlocal(L1, &ar, n).","cstr (ptr L, ptr ar, i32 n)"
1167,1.5.1164953,0x039962B8,verified,lua_setlocal,verified,"lua_setlocal(L, ar, n) -> const char*. Call in db_setlocal after lua_xmove(L, L1, 1); matches lua_setlocal(L1, &ar, luaL_checkint(L, arg+2)).","cstr (ptr L, ptr ar, i32 n)"
1168,1.5.1164953,0x0399605C,verified,lua_error,verified,"lua_error(L) -> int. Seventh and final call in luaB_error matching return lua_error(L).","i32 (ptr L)"
1169,1.5.1164953,0x039966A4,verified,lua_resume,verified,"lua_resume(L, narg) -> int. auxresume calls lua_resume once after lua_xmove#1; sequence-position match (only 1 call in that window).","i32 (ptr L, i32 narg)"
1170,1.5.1164953,0x03996EE4,verified,lua_dump,verified,"lua_dump(L, writer, data) -> int. Call site in str_dump immediately before ""unable to dump given function"" string load; the call str_dump makes before checking for failure.","i32 (ptr L, ptr writer, ptr data)"
1171,1.5.1164953,0x03992FFC,verified,lua_getfenv,verified,"lua_getfenv(L, idx). Else branch of luaB_getfenv with edx=-1; matches lua_getfenv(L, -1).","void (ptr L, i32 idx)"
