id,name,superseded_by,superseded_at_version,is_deprecated,deprecated_at_version,deprecation_replacement,notes
11,gEnv,,,,,,"Static SSystemGlobalEnvironment instance base (gEnv). Derived as id 1009 RVA - 0xA8. Plugins read fields at known offsets: pScriptSystem (+0x28), pCryPak (+0x50), pGame (+0x90), pConsole (+0xA8), etc. Verified against the binary."
12,string_exec_autoexec_cfg,,,,,,"String literal 'exec autoexec.cfg' in .rdata. Single LEA xref in .text from inside the engine's autoexec executor. Use as the seed anchor when the gEnv resolver SIG needs to be re-derived after a game update — find this string, find its single LEA xref, walk backwards to the pConsole MOV. Lives in .rdata not .text — status reflects RVA stability for the lifetime of this game build."
13,IConsole_AddCommand,,,,,,"IConsole::AddCommand(const char* sCommand, ConsoleCommandFunc func, int nFlags, const char* sHelp). __thiscall (rcx=IConsole*). Callback ABI: void __fastcall (IConsoleCmdArgs*). **vtable[33]** (NOT slot 32 — the canonical CryEngine ordering is swapped in this build). Originally recorded as slot 32 from a vtable dump; corrected against the binary, which showed slot 32 is the script-string overload. Three independent confirmations: (a) slot 33's body stores r8 raw at record [+0x20]; slot 32 runs r8 through CryString-assign at 0x1804f6ac8; (b) slot 33's duplicate-registration error says 'console command [%s] is already registered' while slot 32 says 'script command [%s] is already registered'; (c) the engine's own static wrapper at 0x180B99098 (used to register playerGoto / freeze / etc.) calls vtable[33] via [pConsole->vtable + 0x108]. Verified against the binary."
14,IConsole_RemoveCommand,,,,,,"IConsole::RemoveCommand(const char* sName). __thiscall. vtable[34]. Verified against the binary; small function body matches the expected map-erase shape. Used for [[command]] cleanup on plugin unload (if/when v0.2 supports unload). -> bool (success flag; SETNZ BL / MOV AL,BL before RET — the engine returns the map-erase result, diverging from the canonical CryEngine 'void RemoveCommand' header; the return type is empirically probed against the binary, not assumed from a header). Confirmed by a body-wide analysis against the binary."
15,IConsole_ExecuteString,,,,,,"IConsole::ExecuteString(const char* command, bool bSilentMode, bool bDeferExecution). __thiscall. vtable[35]. Verified against the binary. Useful for plugins that want to programmatically execute console commands (e.g., binding a hotkey to a console command via Lua). -> void (entry-point 0x007A5818 and helper 0x007A586C both return with no eax/rax write — pure register-restore before RET; matches the canonical CryEngine header, binary-verified)."
16,IConsole_GetCVar,,,,,,IConsole::GetCVar(const char* name) -> ICVar*. __thiscall. vtable[23]. Verified against the binary (canonical CryEngine slot). Underpins kcdx.get_cvar_bool / get_cvar_int / get_cvar_float (Lua surface) and the C-side CVar lookup.
17,IConsole_AddCommand_static_wrapper,,,,,,"Engine-side static function that resolves pConsole from its known .data slot and calls vtable[33] (AddCommand func-overload). Signature: void __fastcall(const char* name, ConsoleCommandFunc func, int nFlags, const char* sHelp). Used by the engine's own boot-time registrations (playerGoto, freeze, etc.). Plugins may prefer this over directly calling AddCommand because (a) no need to fetch pConsole first, (b) survives vtable shuffles across game patches as long as the wrapper itself stays at this RVA. Verified against the binary."
18,IConsole_AddCommand_script_overload,,,,,,"IConsole::AddCommand(const char* sName, const char* sScriptFunc, int nFlags, const char* sHelp). **vtable[32]** — the SCRIPT-STRING overload (originally mis-labeled as the func-pointer overload at id 2000). Registers a console command whose body is a Lua source string (e.g., ""Game.Connect(%1)""). Plugins typically want id 2000 (function-pointer form) instead, but this is documented for completeness."
19,IGame_CompleteInit_vtable_idx,,,,,,"IGame::CompleteInit() vtable index. A predecessor KCD project records slot 4 (0-indexed) on V1.4+. __thiscall(rcx=IGame*). Fires exactly once during engine init, main thread. NOT a function-entry RVA — this is a vtable-slot integer. Address Library schema would need [[vtable_hook]] support to consume directly; for now, record as a known constant. Status unverified at the Address-Library API level until [[vtable_hook]] ships."
20,IScriptSystem_CreateTable_vtable_idx,,,,,,IScriptSystem::CreateTable() vtable index = 13 (0-indexed). +1 from canonical 12 due to inserted unknown virtual. __thiscall. Same status caveat as id 3000.
21,IScriptTable_SetValueAny_vtable_idx,,,,,,IScriptTable::SetValueAny() vtable index = 7 (0-indexed). +1 from canonical 6 due to inserted unknown virtual. __thiscall. Same caveat.
22,IGame_GetIGameFramework_vtable_idx,,,,,,IGame::GetIGameFramework() vtable index = 16 (0-indexed). Returns IGameFramework*. __thiscall. Documented by a predecessor KCD project at offset 0x80 (== 16 * 8). Same caveat.
23,IGame_GetLongName_vtable_idx,,,,,,IGame::GetLongName() vtable index = 12 (0-indexed). __thiscall. Documented by a predecessor KCD project at offset 0x60. Useful for plugin-side game identification. Same caveat.
24,IGame_GetName_vtable_idx,,,,,,IGame::GetName() vtable index = 13 (0-indexed). __thiscall. Documented by a predecessor KCD project at offset 0x68. Same caveat.
25,luaL_checktype,,,,,,"luaL_checktype(L, narg, t). Cross-confirmed across many luaB_*/db_* wrappers: str_dump + luaB_next + luaB_rawget + luaB_rawset + tconcat + tinsert + tremove + db_sethook all call this RVA at the matching source position. Verified against the binary."
26,lua_insert,,,,,,"lua_insert(L, idx). Cross-confirmed in luaB_pcall (after lua_pcall) and luaB_xpcall (between settop and pcall); both match source's lua_insert call."
27,lua_remove,,,,,,"lua_remove(L, idx). Call in luaopen_math matching lua_remove(L, -2) which removes the _LOADED table after registering; cross-confirmed in db_gethook."
28,lua_type,,,,,,"lua_type(L, idx) -> int. Cross-confirmed in luaB_type body + first call in luaB_setmetatable + db_sethook + luaB_tostring switch dispatch."
29,lua_rawgeti,,,,,,"lua_rawgeti(L, idx, n). Fourth call in tconcat (loop body lua_rawgeti(L, 1, i)); cross-confirmed in tinsert + tremove."
30,lua_pushlstring,,,,,,"lua_pushlstring(L, s, len). db_gethook calls it with rcx=L rdx=""external hook"" r8=13 (length); auxresume call with literal ""cannot resume dead coroutine"" r8=0x1C (length 28) — PGO specialized lua_pushfstring at compile time to lua_pushlstring with literal when args are constant."
31,lua_getmetatable,,,,,,"lua_getmetatable(L, objindex) -> int. Second call in luaB_getmetatable matching if (!lua_getmetatable(L, 1))."
32,lua_settop,,,,,,"lua_settop(L, idx). Cross-confirmed across str_dump + luaB_next + luaB_rawget + luaB_rawset + luaB_error + luaB_setmetatable + luaB_xpcall + db_setlocal + db_sethook."
33,lua_touserdata,,,,,,"lua_touserdata(L, idx) -> void*. Call in ll_require matching lua_touserdata(L, -1) == sentinel check."
34,lua_pushstring,,,,,,"lua_pushstring(L, s). Fourth call in luaB_type body with rcx=L rdx=string (2 args); matches lua_pushstring(L, luaL_typename(...)) exactly."
35,lua_createtable,,,,,,"lua_createtable(L, narr, nrec). Call in base_open after the auxopen pair matching lua_createtable(L, 0, 1) for the newproxy weak table."
36,lua_pushvalue,,,,,,"lua_pushvalue(L, idx). Call in luaB_getfenv with edx=0xFFFFD8EE (= -10002 = LUA_GLOBALSINDEX); matches lua_pushvalue(L, LUA_GLOBALSINDEX); cross-confirmed in luaB_setfenv + luaB_tostring + db_getlocal + db_sethook."
37,lua_setmetatable,,,,,,"lua_setmetatable(L, objindex) -> int. Fifth call in luaB_setmetatable body matching lua_setmetatable(L, 1) after type/checktype/getmetafield/settop."
38,lua_next,,,,,,"lua_next(L, idx). Third call in luaB_next body matching final lua_next(L, 1) in source."
39,lua_tolstring,,,,,,"lua_tolstring(L, idx, len). Call in db_getinfo after lua_pushfstring(L, "">%s"", options) matching options = lua_tostring(L, -1) macro = lua_tolstring(L, -1, NULL)."
40,lua_gettable,,,,,,"lua_gettable(L, idx). Call in str_gsub's add_value helper at LUA_TTABLE case matching lua_gettable(L, 3)."
41,luaC_step,,,,,,"luaC_step(L) — internal GC stepper, NOT LUA_API. Originally mis-tagged as lua_newthread in the first commit; corrected after body-shape analysis showed it reads g->totalbytes/GCthreshold via [L+0x20]+offsets and calls 0x71FDAC (luaC_singlestep) — the GC step dispatch, not thread creation. luaB_cocreate's apparent lua_newthread call was actually the inlined-lua_newthread's call to luaC_checkGC (macro expanding to luaC_step). lua_newthread itself appears inlined; no separate RVA known."
42,lua_rawget,,,,,,"lua_rawget(L, idx). Fourth call in luaB_rawget matching final lua_rawget(L, 1) in source."
43,lua_rawset,,,,,,"lua_rawset(L, idx). Fifth call in luaB_rawset matching final lua_rawset(L, 1); cross-confirmed in db_sethook."
44,lua_tonumber,,,,,,"lua_tonumber(L, idx) -> lua_Number. Call in luaB_setfenv after lua_isnumber check matching lua_tonumber(L, 1); returns xmm0 (float per CryEngine's LUA_NUMBER=float)."
45,lua_isnumber,,,,,,"lua_isnumber(L, idx) -> int. Body-shape match: calls index2adr (0x71DD7C) then cmp [rax+8] 3 (LUA_TNUMBER → return 1); fast-path for lua_isnumber."
46,lua_checkstack,,,,,,"lua_checkstack(L, n) -> int. Body-shape match: computes (L->top - L->base) + size > LUAI_MAXCSTACK with constant 0x800 (= CryEngine's LUAI_MAXCSTACK=2048); also called 2x from auxresume."
47,lua_typename,,,,,,"lua_typename(L, tp) -> const char*. Third call in luaB_type matching luaL_typename macro = lua_typename(L, lua_type(L,i))."
48,lua_objlen,,,,,,"lua_objlen(L, idx) -> size_t. Reached via luaL_getn macro in tconcat + tremove + tinsert; also directly from table.getn wrapper."
49,lua_toboolean,,,,,,"lua_toboolean(L, idx) -> int. Body-shape match: calls index2adr (0x71DD7C) then cmp [rax+8] 0 (LUA_TNIL → return 0); cmp eax 1 (LUA_TBOOLEAN check) then checks bvalue."
50,lua_rawseti,,,,,,"lua_rawseti(L, idx, n). Reached 2x in tinsert (the swap loop) + 2x in tremove (the shift loop) — matches source."
51,lua_tointeger,,,,,,"lua_tointeger(L, idx) -> lua_Integer. Call near top of db_traceback matching (int)lua_tointeger(L, arg+2); cross-confirmed in db_getinfo."
52,lua_newuserdata,,,,,,"lua_newuserdata(L, sz) -> void*. Second call in luaB_newproxy after lua_settop matching lua_newuserdata(L, 0)."
53,lua_pushcclosure,,,,,,"lua_pushcclosure(L, fn, n). Call inside luaopen_math's library-population loop matching lua_pushcclosure(L, l->func, 0) (upvalue-copy loop skipped when nup=0)."
54,luaL_findtable,,,,,,"luaL_findtable(L, idx, fname, szhint). First call in luaopen_math with edx=-10000 (LUA_REGISTRYINDEX) r8=""_LOADED"" r9d=size; called again in same fn with edx=LUA_GLOBALSINDEX."
55,lua_getfield,,,,,,"lua_getfield(L, idx, k). Second call in luaopen_math matching lua_getfield(L, -1, libname); 3 args."
56,lua_setfield,,,,,,"lua_setfield(L, idx, k). Call in luaopen_math's library setup matching lua_setfield(L, -3, libname); cross-confirmed via lua_setfield(L, -3, ""pi"") and ""huge""."
57,lua_gc,,,,,,"lua_gc(L, what, data). Called 2x in luaB_collectgarbage matching source's 2 lua_gc invocations (main op + GCCOUNTB in the GCCOUNT case)."
58,lua_sethook,,,,,,"lua_sethook(L, func, mask, count). Call in db_sethook with 4 args (L1, hookf, mask, count); matches lua_sethook signature exactly."
59,lua_getstack,,,,,,"lua_getstack(L, level, ar) -> int. Call in db_getlocal + db_setlocal after the luaL_checkint(L, arg+1) call matching if (!lua_getstack(L1, n, &ar))."
60,lua_getinfo,,,,,,"lua_getinfo(L, what, ar) -> int. Call in db_traceback after lua_getstack with rdx=""Snl"" matching lua_getinfo(L1, ""Snl"", &ar)."
61,luaL_checknumber,,,,,,"luaL_checknumber(L, narg) -> lua_Number. First call in math_floor (and many other math_* wrappers) with (L, 1); each math_X = luaL_checknumber + CRT math fn + inlined lua_pushnumber; cross-confirmed in math_pow which calls it 2x."
62,lua_call,,,,,,"lua_call(L, nargs, nresults). Inlined luaL_callmeta in luaB_tostring: after luaL_getmetafield returns true, code does lua_pushvalue(L, obj); lua_call(L, 1, 1) — call here is lua_call."
63,luaL_getmetafield,,,,,,"luaL_getmetafield(L, obj, e) -> int. Third call in luaB_getmetatable matching luaL_getmetafield(L, 1, ""__metatable""); cross-confirmed via inlined luaL_callmeta in luaB_tostring."
64,lua_concat,,,,,,"lua_concat(L, n). Sixth call in luaB_error matching lua_concat(L, 2)."
65,luaL_pushresult,,,,,,luaL_pushresult(B). Call site in str_dump immediately after luaL_error and before security_check_cookie; source ends str_dump with luaL_pushresult(&b) followed by return 1.
66,lua_load,,,,,,"lua_load(L, reader, dt, chunkname) -> int. Call in luaB_loadstring after luaL_checklstring + luaL_optstring with the LoadS struct in stack; function calls luaD_pcall (via luaD_protectedparser)."
67,luaL_checklstring,,,,,,"luaL_checklstring(L, narg, len) -> const char*. Call in db_sethook matching luaL_checkstring macro = luaL_checklstring(L, n, NULL); cross-confirmed in str_rep + str_len."
68,luaL_optinteger,,,,,,"luaL_optinteger(L, narg, default) -> lua_Integer. First call in luaB_error matching luaL_optint macro = (int)luaL_optinteger(L, 2, 1); cross-confirmed in luaB_tonumber + luaB_collectgarbage + tremove + db_sethook."
69,luaL_checkinteger,,,,,,"luaL_checkinteger(L, narg) -> lua_Integer. Reached via luaL_checkint macro in tconcat + tinsert + tremove + db_getlocal + db_setlocal."
70,luaL_checkstack,,,,,,"luaL_checkstack(L, sz, msg) — different from lua_checkstack. Call in luaB_unpack matching luaL_checkstack(L, n, ""too many results to unpack"")."
71,luaL_checkany,,,,,,"luaL_checkany(L, narg). Cross-confirmed across luaB_rawget + luaB_rawset + luaB_rawequal + luaB_type + luaB_getmetatable + luaB_pcall + luaB_xpcall + luaB_tostring + luaB_tonumber + luaB_unpack + db_setlocal."
72,luaL_addlstring,,,,,,"luaL_addlstring(B, s, l). Call inside str_rep's repeat loop after the buffer was initialized inline; matches luaL_addlstring(&b, s, l) (3 args)."
73,lua_iscfunction,,,,,,"lua_iscfunction(L, idx) -> int. Call in luaB_getfenv with (L, -1); cross-confirmed in luaB_setfenv."
74,lua_isstring,,,,,,"lua_isstring(L, idx) -> int. Third call in luaB_error body matching the lua_isstring(L, 1) check."
75,lua_lessthan,,,,,,"lua_lessthan(L, idx1, idx2) -> int. sort_comp's cold path (when comparator nil) tail-jumps to lua_lessthan via the cold-path call at 0x3999CE9 → 0x39930E8; the function calls index2adr 2x and tail-jmps to luaV_lessthan."
76,lua_getupvalue,,,,,,"lua_getupvalue(L, funcindex, n) -> const char*. Call in auxupvalue's get-path (test edi != 0 fall-through); source: name = get ? lua_getupvalue(L, 1, n) : lua_setupvalue(L, 1, n)."
77,lua_pushfstring,,,,,,"lua_pushfstring(L, fmt, ...) -> const char*. Called 5+ times in db_traceback with format-string args (variadic pattern); each call loads a format string (e.g. ""%s:"" ""%d:"" "" in function "" LUA_QS)."
78,lua_rawequal,,,,,,"lua_rawequal(L, idx1, idx2) -> int. Third call in luaB_rawequal with 3 args (L, 1, 2); lua_pushboolean inlined."
79,lua_setfenv,,,,,,"lua_setfenv(L, idx) -> int. Third call in db_setfenv after luaL_checktype + lua_settop matching if (lua_setfenv(L, 1) == 0); cross-confirmed in luaB_setfenv."
80,lua_setupvalue,,,,,,"lua_setupvalue(L, funcindex, n) -> const char*. Call in auxupvalue's set-path (test edi != 0 taken-branch); ternary other branch from lua_getupvalue site."
81,lua_tothread,,,,,,"lua_tothread(L, idx) -> lua_State*. First call in luaB_costatus matching lua_State *co = lua_tothread(L, 1); cross-confirmed via luaB_coresume."
82,lua_xmove,,,,,,"lua_xmove(from, to, n). auxresume calls lua_xmove 3x — site at 0x39932DC is called 3x from auxresume; cross-confirmed in db_getlocal + db_setlocal + db_sethook."
83,luaL_addvalue,,,,,,luaL_addvalue(B). Final call in str_gsub's add_value helper with rcx=&b matching luaL_addvalue(b); single luaL_Buffer* arg.
84,luaL_argerror,,,,,,"luaL_argerror(L, narg, extramsg). Error path of db_getlocal + db_setlocal after !lua_getstack — matches return luaL_argerror(L, arg+1, ""level out of range"")."
85,luaL_checkoption,,,,,,"luaL_checkoption(L, narg, def, lst[]) -> int. First call in luaB_collectgarbage matching luaL_checkoption(L, 1, ""collect"", opts)."
86,luaL_error,,,,,,"luaL_error(L, fmt, ...) -> int. Cross-confirmed: str_dump (lstrlib.c) + auxresume (lbaselib.c) + tinsert all reach the same RVA."
87,luaL_optlstring,,,,,,"luaL_optlstring(L, narg, def, len) -> const char*. First call in tconcat matching luaL_optstring expansion (L, 2, """", &lsep)."
88,luaL_prepbuffer,,,,,,luaL_prepbuffer(B) -> char*. Call in str_gsub main loop with single arg (luaL_Buffer*) when buffer needs refilling.
89,luaL_typerror,,,,,,"luaL_typerror(L, narg, tname) -> int. Located via string xref to ""%s expected, got %s"" format string in .rdata; body calls lua_type + lua_typename + lua_pushfstring then tail-jumps to luaL_argerror."
90,luaL_where,,,,,,"luaL_where(L, level). Fourth call in luaB_error matching luaL_where(L, level)."
91,lua_getlocal,,,,,,"lua_getlocal(L, ar, n) -> const char*. Call in db_getlocal after the second luaL_checkint(L, arg+2); matches lua_getlocal(L1, &ar, n)."
92,lua_setlocal,,,,,,"lua_setlocal(L, ar, n) -> const char*. Call in db_setlocal after lua_xmove(L, L1, 1); matches lua_setlocal(L1, &ar, luaL_checkint(L, arg+2))."
93,lua_error,,,,,,lua_error(L) -> int. Seventh and final call in luaB_error matching return lua_error(L).
94,lua_resume,,,,,,"lua_resume(L, narg) -> int. auxresume calls lua_resume once after lua_xmove#1; sequence-position match (only 1 call in that window)."
95,lua_dump,,,,,,"lua_dump(L, writer, data) -> int. Call site in str_dump immediately before ""unable to dump given function"" string load; the call str_dump makes before checking for failure."
96,lua_getfenv,,,,,,"lua_getfenv(L, idx). Else branch of luaB_getfenv with edx=-1; matches lua_getfenv(L, -1)."
97,luaopen_math,,,,,,"luaopen_math(L). lualibs[] entry 6 — ""math"" → luaopen_math; first call in this function inlines luaI_openlib and walks through luaL_findtable/lua_getfield/lua_type/lua_settop/lua_pushvalue/lua_setfield/lua_remove/lua_insert/lua_pushcclosure."
98,luaopen_table,,,,,,"luaopen_table(L). lualibs[] entry 2 — ""table"" → luaopen_table."
99,luaopen_debug,,,,,,"luaopen_debug(L). lualibs[] entry 7 — ""debug"" → luaopen_debug."
100,luaopen_base,,,,,,luaopen_base(L). lualibs[] entry 0 — empty name maps to luaopen_base in linit.c. Calls base_open then luaL_register on co_funcs.
101,luaopen_string,,,,,,"luaopen_string(L). lualibs[] entry 5 — ""string"" → luaopen_string."
102,luaopen_package,,,,,,"luaopen_package(L). lualibs[] entry 1 — ""package"" → luaopen_package. Inlines luaL_newmetatable at entry."
103,luaopen_os,,,,,,"luaopen_os(L). lualibs[] entry 4 — ""os"" → luaopen_os. CryEngine os library has only {time, clock}; rest stripped."
104,luaopen_io,,,,,,"luaopen_io(L). lualibs[] entry 3 — ""io"" → luaopen_io. STUBBED: this RVA is a 3-byte `ret 0` thunk; CryEngine disabled Lua's io library wholesale."
105,index2adr,,,,,,"index2adr(L, idx) -> TValue*. Internal lapi.c helper (NOT a public LUA_API); target of lua_pcall's first call. Resolves a stack index (positive/negative/pseudo) to a TValue pointer. Useful for advanced kcdx-internal work where direct stack manipulation is needed."
106,luaD_pcall,,,,,,"luaD_pcall(L, func, u, old_top, ef) -> int. Internal ldo.c helper; thin wrapper around luaD_rawrunprotected with the error-handling cold path (luaF_close + luaD_seterrorobj). Called from lua_pcall + lua_cpcall + lua_load."
107,luaD_rawrunprotected,,,,,,"luaD_rawrunprotected(L, f, ud) -> int. Internal ldo.c helper; sets up the LUAI_TRY (setjmp/longjmp) frame and runs f(L, ud) inside it. Calls Windows amd64 _setjmp at 0x1d938e3."
108,luaL_addstring,,,,,,"luaL_addstring(B, s). Identified by JMP-scan: only function in WHGame.dll that tail-jumps to luaL_addlstring (0xB9D8E4). Body: inline strlen (or r8,-1; inc r8; cmp byte [rdx+r8], 0; jne) then jmp luaL_addlstring. No-frame leaf function (absent from .pdata) — start RVA derived by walking backward from the E9 JMP through the CC pad."
109,luaO_pushvfstring,,,,,,"luaO_pushvfstring(L, fmt, va_list) -> const char*. Internal lobject.c helper (NOT LUA_API). Called from lua_pushfstring's body at site 0x399316B (after inlined luaC_checkGC + va_list setup). Plugin shim that wants lua_pushvfstring should call this directly and handle the GC check manually (lua_pushvfstring's only meaningful wrapper logic is the luaC_checkGC + this call)."
110,lua_topointer,,,,,,"lua_topointer(L, idx) -> const void*. Body matches the source switch-on-ttype: index2adr; then cmp ttype against LIGHTUSERDATA (2) → tail-jmp to lua_touserdata; else cmp against TABLE/FUNCTION/THREAD (5/6/7) → return [rax] (the GC pointer). Default returns NULL. Function lives between lua_setmetatable and other small lapi.c functions."
111,lua_settable,,,,,,"lua_settable(L, idx). Body matches source: index2adr to get t; compute L->top-2 and L->top-1; call luaV_settable (0x71CCF0) with (L, t, L->top-2, L->top-1); L->top -= 2. The 4-arg internal call after stack-pointer arithmetic is the lua_settable signature."
112,luaG_runerror,,,,,,"luaG_runerror(L, fmt, ...). Internal ldebug.c error-message constructor (NOT LUA_API). Body matches source: saves variadic args; checks G(L)->storedebug flag at [g+0x22]; if set calls luaO_pushvfstring(L, fmt, argp); else calls luaO_pushfstring(L, ""[Error] Lua error..."") — the storedebug-dispatch is CryEngine-specific (vendor/lua/luaconf.h adds storedebug for memory-saving debug suppression)."
113,luaO_pushfstring,,,,,,"luaO_pushfstring(L, fmt, ...). Internal lobject.c varargs wrapper around luaO_pushvfstring. Body: save varargs to home space, lea r8=va_list_start, tail-call luaO_pushvfstring. Used by luaG_runerror's no-debug-info path."
114,lua_newstate,,,,,,"lua_newstate(allocf, ud) -> lua_State*. PGO-fused with luaL_newstate — accepts no allocator argument (callers pass xor ecx, edx, r8d) and directly calls l_alloc (0x71E2B0). Body matches lstate.c::lua_newstate exactly: allocates 0x268 bytes (= sizeof(LG)), initializes g->storedebug=1 at +0x22, gcpause/gcstepmul=200 at +0x90/+0x94, totalbytes=0x268 at +0x78, mainthread=L at +0xb0, L->l_G=g at +0x20; final call is luaD_rawrunprotected(L, f_luaopen, NULL) at 0x014493F0. Sole caller is CScriptSystem::Init (0x1448F38)."
115,luaL_openlibs,,,,,,"luaL_openlibs(L). Sole xref to the static lualibs[] table at .rdata RVA 0x3B8B200 (NOT 0x3B8B210 — table actually starts 16 bytes earlier with the {"""", luaopen_base} entry). Body is the canonical 3-call loop: lua_pushcclosure (0xB9D11C) + lua_pushstring (0x71EF54) + lua_call (0x144965C) per entry. The lualibs reference is at instr RVA 0x144960A inside this function. ENTRY AOB (verified .text-unique against the binary, EXACTLY 1 match at this RVA): '48 89 5C 24 08 57 48 83 EC 20 48 8B F9 48 8D 1D' — 16 bytes, zero wildcards (mov [rsp+8],rbx; push rdi; sub rsp,0x20; mov rdi,rcx; + the lea rbx,[rip+disp32] opcode triplet, slice ending before the variable disp32). Entry-hooked by nobody, so the prologue stays pristine for a by-name pattern scan. Used by test-plugins/cap-33-author-targets as the §36 pattern-by-name target."
116,f_luaopen,,,,,,"f_luaopen(L, ud). Static helper inside lua_newstate. Computed from lea rdx, [rip - 0x4d174c] at 0x014493E9 immediately before call luaD_rawrunprotected. Builds the initial state: stack_init, gt(L)=luaH_new(L,0,2), registry=luaH_new(L,0,2), luaS_resize(L, MINSTRTABSIZE), luaT_init, luaX_init, luaS_fix(luaS_newliteral(L, ""not enough memory"")). NOT LUA_API — internal."
117,l_alloc,,,,,,"l_alloc(ud, ptr, osize, nsize) -> void*. Default CryEngine Lua allocator. Unique direct-callee of lua_newstate (0x14492A8). Body matches lua_Alloc signature: nsize==0 → free; otherwise heap-alloc via 0x71E1B0 (CryEngine heap function). NOT LUA_API — internal allocator hook."
